timecode,seconds,lat,lat_dir,lon,lon_dir,sensor,trigger_num,trigger_time_small,matched_time_large,match_time_diff,relative_row,relative_time
260330_201657_300,73017.297,4159.9844,N,8739.4414,W,221,3,73340,73020.703,319.29700000000594,-34,-3.4059999999881256
260330_201657_400,73017.398,4159.9844,N,8739.4414,W,220,3,73340,73020.703,319.29700000000594,-33,-3.304999999993015
260330_201657_500,73017.5,4159.9844,N,8739.4414,W,219,3,73340,73020.703,319.29700000000594,-32,-3.202999999994063
260330_201657_600,73017.602,4159.9844,N,8739.4414,W,202,3,73340,73020.703,319.29700000000594,-31,-3.1009999999951106
260330_201657_700,73017.703,4159.9844,N,8739.4414,W,202,3,73340,73020.703,319.29700000000594,-30,-3.0
260330_201657_800,73017.797,4159.9844,N,8739.4414,W,205,3,73340,73020.703,319.29700000000594,-29,-2.9059999999881256
260330_201657_900,73017.898,4159.9844,N,8739.4414,W,206,3,73340,73020.703,319.29700000000594,-28,-2.804999999993015
260330_201658_000,73018.0,4159.9844,N,8739.4414,W,208,3,73340,73020.703,319.29700000000594,-27,-2.702999999994063
260330_201658_100,73018.102,4159.9844,N,8739.4414,W,209,3,73340,73020.703,319.29700000000594,-26,-2.6009999999951106
260330_201658_200,73018.203,4159.9844,N,8739.4414,W,210,3,73340,73020.703,319.29700000000594,-25,-2.5
