timecode,lat,lat_dir,lon,lon_dir,sensor
260324_015404_700,4159.9448,N,8739.6074,W,209
260324_015404_800,4159.9448,N,8739.6074,W,209
260324_015404_900,4159.9448,N,8739.6074,W,209
260324_015405_000,4159.9448,N,8739.6074,W,209
260324_015405_100,4159.9448,N,8739.6074,W,209
260324_015405_200,4159.9448,N,8739.6074,W,209
260324_015405_300,4159.9448,N,8739.6074,W,209
260324_015405_400,4159.9448,N,8739.6074,W,209
260324_015405_500,4159.9448,N,8739.6074,W,209
260324_015405_600,4159.9448,N,8739.6074,W,209
260324_015405_700,4159.9448,N,8739.6074,W,209
260324_015405_800,4159.9448,N,8739.6074,W,209
260324_015405_900,4159.9448,N,8739.6074,W,209
260324_015406_000,4159.9448,N,8739.6074,W,209
260324_015406_100,4159.9448,N,8739.6074,W,209
260324_015406_200,4159.9448,N,8739.6074,W,209
260324_015406_300,4159.9448,N,8739.6074,W,209
260324_015406_400,4159.9448,N,8739.6074,W,209
260324_015406_500,4159.9448,N,8739.6074,W,209
260324_015406_600,4159.9448,N,8739.6074,W,209
260324_015406_700,4159.9448,N,8739.6074,W,209
260324_015406_800,4159.9448,N,8739.6074,W,209
260324_015406_900,4159.9448,N,8739.6074,W,209
260324_015407_000,4159.9448,N,8739.6074,W,209
260324_015407_100,4159.9448,N,8739.6074,W,209
260324_015407_200,4159.9448,N,8739.6074,W,209
260324_015407_300,4159.9448,N,8739.6074,W,209
260324_015407_400,4159.9448,N,8739.6074,W,209
260324_015407_500,4159.9448,N,8739.6074,W,209
260324_015407_600,4159.9448,N,8739.6074,W,209
260324_015407_700,4159.9448,N,8739.6074,W,209
260324_015407_800,4159.9448,N,8739.6074,W,209
260324_015407_900,4159.9448,N,8739.6074,W,209
260324_015408_000,4159.9453,N,8739.6064,W,209
260324_015408_100,4159.9453,N,8739.6064,W,209
260324_015408_200,4159.9453,N,8739.6064,W,209
260324_015408_300,4159.9453,N,8739.6064,W,209
260324_015408_400,4159.9453,N,8739.6064,W,209
260324_015408_500,4159.9453,N,8739.6064,W,209
260324_015408_600,4159.9453,N,8739.6064,W,209
260324_015408_700,4159.9453,N,8739.6064,W,209
260324_015408_800,4159.9453,N,8739.6064,W,209
260324_015408_900,4159.9453,N,8739.6064,W,209
260324_015409_000,4159.9458,N,8739.6064,W,209
260324_015409_100,4159.9458,N,8739.6064,W,209
260324_015409_200,4159.9458,N,8739.6064,W,209
260324_015409_300,4159.9458,N,8739.6064,W,209
260324_015409_400,4159.9458,N,8739.6064,W,209
260324_015409_500,4159.9458,N,8739.6064,W,209
260324_015409_600,4159.9458,N,8739.6064,W,209
260324_015409_700,4159.9458,N,8739.6064,W,209
260324_015409_800,4159.9458,N,8739.6064,W,209
260324_015409_900,4159.9458,N,8739.6064,W,209
260324_015410_000,4159.9463,N,8739.6064,W,209
260324_015410_100,4159.9463,N,8739.6064,W,209
260324_015410_200,4159.9463,N,8739.6064,W,209
260324_015410_300,4159.9463,N,8739.6064,W,209
260324_015410_400,4159.9463,N,8739.6064,W,209
260324_015410_500,4159.9463,N,8739.6064,W,209
260324_015410_600,4159.9463,N,8739.6064,W,209
260324_015410_700,4159.9463,N,8739.6064,W,209
260324_015410_800,4159.9463,N,8739.6064,W,209
260324_015410_900,4159.9463,N,8739.6064,W,209
260324_015411_000,4159.9463,N,8739.6064,W,209
